date_of_birth_year,Age in Last Interview,height_cm,weight_kg,education_level,date_of_birth_month
1955,48.0,162.2,53.2,1.0,12
1984,23.0,114.2,18.2,1.0,4
1987,20.0,98.1,13.7,3.0,12
1992,15.0,76.9,9.1,3.0,5
1992,15.0,76.9,9.1,3.0,5
1993,14.0,47.0,3.1,2.0,11
1953,47.0,145.8,44.3,1.0,7
1985,15.0,116.8,18.8,2.0,3
1989,11.0,93.9,12.8,2.0,5
1989,11.0,93.9,12.8,2.0,5
1993,7.0,65.8,7.0,3.0,4
1947,60.0,147.8,52.5,1.0,5
1988,19.0,105.0,17.0,3.0,3
1990,17.0,91.6,13.5,1.0,3
1990,17.0,91.6,13.5,1.0,3
1989,11.0,92.9,14.5,1.0,9
1992,8.0,77.8,6.0,1.0,6
1991,16.0,73.5,7.0,1.0,4
1998,19.0,99.1,16.5,3.0,12
1998,19.0,99.1,16.5,3.0,12
1990,15.0,89.9,12.5,3.0,10
1983,24.0,118.3,23.2,3.0,10
1983,24.0,118.3,23.2,3.0,10
1986,21.0,105.3,17.6,1.0,7
1990,16.0,79.2,11.1,3.0,10
1990,16.0,79.2,11.1,3.0,10
1967,42.0,138.2,39.2,1.0,5
1985,22.0,114.6,19.1,3.0,4
1987,20.0,99.5,14.6,2.0,3
1989,17.0,93.6,11.9,3.0,1
1989,17.0,93.6,11.9,3.0,1
1989,17.0,93.6,11.9,3.0,1
1991,15.0,84.2,11.7,3.0,3
1993,13.0,68.4,6.0,2.0,2
1967,40.0,167.8,58.6,1.0,10
1969,38.0,149.5,45.6,1.0,12
1990,17.0,94.4,13.6,3.0,1
1990,17.0,94.4,13.6,3.0,1
1951,56.0,147.5,45.1,1.0,10
1984,23.0,124.8,24.2,3.0,4
1984,23.0,124.8,24.2,3.0,4
1987,19.0,101.9,15.6,3.0,12
1990,17.0,79.6,9.1,3.0,10
1963,44.0,149.1,47.1,3.0,1
1993,14.0,58.3,4.9,2.0,9
1961,46.0,150.7,57.3,1.0,12
1984,23.0,117.5,23.7,3.0,4
