Highest Level of Schooling Attended by HHM,Highest Grade Ever Completed by HHM,Is HHM in School This Year?,Age in Last Interview,Age Now,age_years,age_months,date_of_birth_day,date_of_birth_month,date_of_birth_year,height_cm,weight_kg
2:Grade school,4,3:No,40.0,59.0,33,98,98,98,98,9996.0,9996.0
2:Grade school,0:Did not finish 1st grade,3:No,14.0,29.0,7,7,98,5,86,9996.0,9996.0
2:Grade school,3,3:No,14.0,29.0,7,7,98,5,86,9996.0,9996.0
2:Grade school,1,3:No,47.0,59.0,40,98,98,98,98,9996.0,9996.0
2:Grade school,4,3:No,20.0,34.0,13,98,98,98,98,9996.0,9996.0
2:Grade school,3,3:No,16.0,30.0,9,98,98,98,98,9996.0,9996.0
1:Unschooled,96:No school,3:No,14.0,28.0,7,98,98,98,98,9996.0,9996.0
2:Grade school,1,3:No,12.0,26.0,5,98,98,98,98,9996.0,9996.0
2:Grade school,0:Did not finish 1st grade,1:Yes,10.0,24.0,3,98,98,98,98,9996.0,9996.0
6:Vocational sr. high (SMK),0:Did not finish 1st grade,1:Yes,7.0,21.0,0,5,98,7,93,9996.0,9996.0
2:Grade school,4,3:No,48.0,55.0,37,11,31,12,55,162.2,53.2
2:Grade school,2,3:No,47.0,54.0,28,98,98,98,98,155.5,48.1
2:Grade school,5,3:No,23.0,30.0,9,7,98,4,84,114.2,18.2
61:University S1,7:Graduated,3:No,22.0,28.0,7,11,98,12,85,117.0,20.0
6:Vocational sr. high (SMK),7:Graduated,3:No,20.0,27.0,6,0,98,12,87,98.1,13.7
61:University S1,4,1:Yes,17.0,24.0,2,7,98,4,90,88.7,12.4
61:University S1,4,1:Yes,17.0,24.0,2,7,98,4,90,88.7,12.4
"60:Diploma (D1, D2, D3)",1,1:Yes,15.0,22.0,1,7,98,5,92,76.9,9.1
"60:Diploma (D1, D2, D3)",1,1:Yes,15.0,23.0,1,7,98,5,92,76.9,9.1
3:General jr. high,7:Graduated,1:Yes,14.0,21.0,0,0,29,11,93,47.0,3.1
